description,primary_label
"Wood Treatments is a company that specializes in wood treatment services for various types of timber and wooden constructions. They offer a range of services including wood treatment, attic treatment, decay treatment, antiques treatment, chemical processing, fire protection, insect prevention, mold control, fungi control, and more. Their products are suitable for construction, parquet flooring, decks, docks, electricity poles, fences, railway crossings, timber, furniture, and toys. The company also designs, builds, and treats farms for roofing houses on wooden structures. They supply products for wood treatment from the cutting of logs and its trimming, and their products are processed differently depending on their application in a wooden product. The wood treated with their products will be completely stable and no longer cracked.",Preservation Services
"Sawmill WB Sidzina, also known as WB Tartak Sidzina, is a young sawmill located in Sidziny, Małopolska, Poland. They specialize in the sale of larch, pine, and spruce timber, as well as wooden elements. With over 35 years of experience in wood wiping, their employees are dedicated to providing high-quality wood for various construction and furniture making projects. The sawmill offers a wide range of wood products, including sharply cut boards, unplanked or unplanked edges, and barked poles, in different lengths and thicknesses to meet customer preferences. They serve both individual customers and businesses, providing advantageous conditions for cooperation. Sawmill WB SidzINA prides itself on its modern woodworking equipment and transportation services throughout Poland.",Wood Product Manufacturing
"DLH Fritzøe is a Norwegian company owned by Treschow Fritzøe AS and Swedish Ljunghold AB, which is one of the largest, oldest, and most experienced suppliers in sheet metal products in Scandinavia. The company mainly trades in wood-based panel products from all over the world and supplies to the wood and furniture industries, as well as a range in timber and composite decking boards for resale through its dealer networks. DLH Frithzüe does not sell to private end users, but rather through well-stocked lumber dealers and DIY stores. The total turnover of these businesses was approximately Nok2500 million in 2020, and for 2021, they expect to generate a revenue over NOK3000mn. The four companies are mainly engaged in importing and distributing wood- based board products and have become market leaders in Scandinavie.",Wood Product Manufacturing
"Montagnoli Giovanni Srl is a company based in Gallarate, Varese that specializes in woodworking and carpentry. With over 70 years of experience, they produce structures, roofing, and coverings in wood of all kinds, including garden furniture, wooden houses, and carpenters. They use modern Cad/Cam programs for 3D design and have a CNC cutting center to make pre-cut roofs. Montagnoli Legnami also offers services such as transportation and lifting of materials at height with truck-crane.",Wood Product Manufacturing
"Dřevoprodej Holešovice, s.r.o. is a company that specializes in the sale of cheap decks, OSB boards, timber, and other wooden products for buildings. They offer a wide range of construction timber, beams, slats, planks, and laths from their warehouse, with the ability to deliver standard-sized rafters within 14 days. They also provide floor and cladding boards, terrace parts, OSBM panels, Durrelis plates, high-quality wood screws, universal screws, and more for carpenters and tradespeople. The company focuses on the sale Biomac ecofuels, particularly wooden briquettes from wastewood Biomac, which meet all standards and certifications. They advise customers on how to choose the right wood for their specific needs and offer advice on choosing the species that will fit most well into each application.",Wood Product Manufacturing
"Good Production is a company that specializes in laser engraved wood products. They combine traditional craftsmanship with modern laser technology to create unique and durable wooden items. Their products range from custom birth signs, wedding souvenirs, and themed gifts for special occasions to professionally engraved items for hospitality or business. They prioritize responsible wood selection and only use FSC or PEFC certified timber, ensuring that the material is sourced from sustainable forests. Good Production's products are carefully designed to enhance every moment and bring ideas to life with the refined aesthetics and quality of laser engraving.",Wood Product Manufacturing
"AMBIKA PLYWOOD & HARDWARE is a company based in Nagpur, Maharashtra, India. The company operates in various sectors including plywood supply, doors supply, glass repair services, hardware, locks, lumber, modular home dealership, office furniture, paint, polythene and plastic sheeting supply.",Wood Product Manufacturing
"Schandert Office Furniture is a Berlin-based company that specializes in custom-made lockers, cabinets, and office furniture. They offer a wide range of materials for their lockers and safes, including real timber, veneered surfaces, MDF panels, and high-pressure laminate. Their wooden lockers are equipped with mechanical or electronic lock systems, providing a high level of security and durability at a low cost. They also offer file cabinets, shelving systems, drawer containers, hanging binder cabinets, roll-up storage cupboards, and locker cabinets as computer cabinets or laptop/notebook trolleys with or without charging possibility. Schandert provides full-service for the use of lockers or cabinets made from wood throughout Germany, with experienced staff and renowned partners to assist with planning and implementation.",Furniture Manufacturing
"The company specializes in the construction of wooden houses using prefabricated wooden panelling, which is hardened with glue cornered pieces of wood that can be used for furniture such as shelves or desks. They also provide information on the benefits of introducing CAD (Computer Aided Design) software for computer-aided design.",Single Family Residential Construction
"Garage Petit Collin is a French company located in Queudes, Marne that specializes in repairing and selling new and used agricultural, viticulture, and green space equipment. As an agent of Motrio Renault Marne and Sézanne, they offer a simple, quick, and cost-effective solution to vehicle owners over the age of four. They provide repair services for all types of machinery related to agriculture, viticultural, and professional and leisure farming. Additionally, they sell new and second-hand STIHL equipment and offer hydrographic de-pollution and decarbonization services for engines of all types. As a Motrio agent, they provide a wide range of parts from multiple quality brands to their customers.",Agricultural Equipment Services
"Harishan Agro Pvt Ltd is an Indian-based company that specializes in manufacturing high-quality Indian and international made farm equipment and equipment, including a variety of harrow discs and rotary tiller blades. The company has been in the agricultural equipment supplier business for over the past decade and has gained a reputation as one of the best agricultural equipment suppliers online, offering affordable prices and producing value for customers. Harishan's range of agricultural machinery for crop residue reduction, pasture restoration, and farm work is designed for international requirements and has world-class standard models. The equipment is designed to work simply and efficiently for the task, with the least wearing parts, engineered to needed specifications, utilizing quality matters and advanced design with the safety of functioning as a notable factor.",Agricultural Machinery Manufacturing
"Rigoni Máquinas agrícolas is a company that specializes in the purchase, sale, and refurbishment of agricultural equipment. With over 30 years of experience in the market, they offer quality and trust to their customers. They sell new and used agricultural machinery with a warranty, including the SOL TOWER plantadeiras, which are machines that perform the direct seeding of coarse grains with precision, capable of working with 7 to 13 lines in a 45 cm space. The company also offers the SHM multiple seeding machines, which have been developed with advanced technology combined with the Semeato tradition, making them more reliable, productive, and precise, providing high profitability to the producer. These efficient, high-precision, and robust machines are ideal for small and medium-sized properties. Rigoni Mâquinas is committed to providing excellent customer service and meeting their customers' needs.",Agricultural Equipment Services
"The Kubota Western Cape is a company based in Cape Town, South Africa, operating in the agricultural sector. It functions as a tractor dealer, agricultural machinery manufacturer, and supplier, providing a range of products and services including farm equipment repair and wholesale. The company also deals in construction machinery and operates as an equipment supplier.",Tractor Dealership
"TD Agrotechservice Ltd. is a supplier of spare parts and goods for agricultural machinery, specializing in the sale of agricultural machinery and spare parts for trators such as T-150, MTZ, DON, Akros, Jenisei, cultivators, harrows, ploughs, and seed drills. They offer a wide range of goods designed for repair and maintenance of agriculture machinery, including trailer and attachment equipment. The company also provides repair services for K-700, 744 crossing points, and K-744 tractor maintenance. They have a collection of completed repairs and spare part in stock for K701 gearbox and Yamz238 engine, as well as a new collection of repairs.",Agricultural Equipment Services
"Prevozništvo Joco is an international company that provides transport, storage, and logistics services, as well as rental of vehicles, towing cars, agricultural machinery, and construction equipment. They offer a wide selection of Solis tractors with financing options and delivery within 24 hours in Slovenia. They also provide transportation of various types of goods and delivery of parcels, aswell as transport of agricultural and construction machinery. Additionally, they offer car rental services, including large and small car towing, and vehicle service in their car mechanics workshop and on-site. Prevozniştvo joco also sells Solis tractor brands and trailers, including the Caselli 6 ton single axle, CASELLi 10 ton, and Casella 10 ton tandem.",Transportation Services
"MS Diesel is a company located on the South Shore of Montreal that specializes in the repair and maintenance of heavy vehicles, agricultural machinery, snow removal equipment, trucks, and trailers. Their main focus is on repairing and maintaining heavy machinery.",Commercial and Industrial Machinery and Equipment Repair and Maintenance
"Luoyang Joomach Machinery International Trading Co., Ltd., also known as Joomac, is a B2B business established in 2021. They specialize in the sales of construction machinery, agricultural machinery, supermarket display and storage equipment, smart electromechanical equipment, semiconductor materials, and various parts and components, as well as technical consulting and services. The company is located in Luoyang, China, an industrial city with a rich history of over 70 years. Joomack has a production base consisting of 5 industrial equipment and smart equipment manufacturers with more than 40 years of experience and Iso9000 system certification. They are dedicated to providing high-quality products and professional services to international customers. Jooomach aims to cultivate the international market, match suitable products to customers, find high-grade customers, and meet the different needs of each customer and market. Customer trust is their main priority.",Construction Machinery Manufacturer
"Kaihua Emin Metal Structure Operation Department is a company located in Xifeng County, Xifen, China. They specialize in various industries including antiques, textile raw materials, non-metallic mineral products, traffic safety facilities, silk fabrics, farming machinery and equipment, fireproof material, transportation security facility, clothes accessories, and photo processing. The company is committed to creating differentiated products and services in the metal structure sector and has a reputation for promoting industry upgradation and transformation. They have modern production equipment and manufacturing processes to ensure product quality meets national standards and collaborate with international and domestic producers of raw materials. The purpose of the company is to provide professional services, quality products, and reliable after-sale services. They aim to establish a stable client base and provide professional and multi-faceted services to various industries. The business philosophy of the department is honesty, professionalism, accuracy, thoroughness, and reliability.",Metal Structures Manufacturing
"Taiyu Industrial Group Co., Ltd is a Chinese manufacturer and supplier of poultry equipment and equipment, specializing in steel structure poultry houses, layer rearing equipment, hatch equipment, automatic rearing cage, and equipment for layer, day old chicken, and broiler. They also produce feed processing lines, egg processing lines from automated collection to packaging. Their products include egg processing equipment, chicken cage production lines, feed processing machines, food grade eggs sorting and packing machinery, and other equipment for egg hatching, egg tray production, broiler rearing, and chicken slaughtering. The company owns advanced German production technology and offers cost-effective solutions for farmers seeking a cost-efficient solution for their poultry farming needs.",Poultry Farming Equipment Manufacturer
"NICT Infotech is an industrial training company that offers a 6-month industrial training program for BCA/B.Tech/MCA students who are interested in working as engineers or engineering assistants. The program is designed to provide practical work on industry-based projects in a company that has been actively involved in the field of manufacturing for over six years. The course covers various topics such as Asp.Net with C#, working with web forms controls, validating user input, using rich server controls, accessing data, managing data, creating and consuming XML web services, and configuring and deploying ASP.net applications. The company also offers a course in Search Engine Optimization (SEO)/Search engine Marketing (SEM) with 100% job placement, providing theoretical and practical training to engineering students with good internet surfing skills and analytical skills. The courses are suitable for faculty who wish to learn about upcoming concepts of SEO and SEM.",Training Services
"The company provides information and resources for educational organizations and individuals interested in learning more about the process of creating a learning organization. They offer guidance on the structure and management of educational organizations, as well as information on educational standards and standards of practice. The company also provides information on the material-technical requirements and feasibility of educational process implementation, aswell as basic education services. Additionally, they offer resources for parents and guardians, including information on how to find a learning institution and how to apply for funding.",Training Services
"Python Courses is an online platform that offers a collection of the top 50 best courses for beginners to learn programming in the Python language from scratch. The platform provides access to a variety of courses and lessons on development from proven online schools, allowing individuals to master the programming language and pursue a career as a Python developer and programmer. The courses cover a range of topics, including algorithms, data structures, full-stack web development, data analysis, and programming languages such as C++, Python, Java, Go, JavaScript, and C#. The cost of the courses can be taken on a loan from the bank, and the duration of training is approximate due to the recorded classes.",Training Services
"Stirling Airport is an airport located in Stirling, Ontario, Canada.",Property Management Services
"The Wildcats Combat Basingstoke is a martial arts school located in Basingstoke, England. It specializes in teaching martial arts, including Taekwondo. The school focuses on self-defense training and offers various services related to martial arts.",Fitness Coaching
"Generation Exchange is a company that facilitates connections between young adults and older adults, facilitating the exchange of knowledge and experiences.",Training Services
StudyPro is an Education & Courses HTML5 Template created by ThemeMascot. It is a clean and unique template that is easy to customize for clients and developers. The template is built with Bootstrap 3.x and LESS and supports Google Fonts.,Website Development Services
"The École Nationale de l’Aviation Civile (Enac), also known as the National School of Civil Aviation, is a leading aeronautical school and university in Europe. It is considered the most important institution of its kind in the continent. The ENAC offers a range of services and products related to aeronautics and aviation, including training, education, and research. The school is committed to providing high-quality education to its students, with a focus on preparing them for careers in aviation. It offers a variety of courses, including the Diploma of Aeronautical Studies and the Diplome de l'Aviation Professionnelle, which are designed to equip students with the necessary skills and knowledge to pursue a career in the aviation industry. The courses are taught by experienced and qualified instructors, and the ENAC is dedicated to preparing students for careers as aviation professionals.",Training Services
"APA - Esporte para Educar - Academia De Artes Marciais em Marechal Hermes is a martial arts academy located in Marechal Her Hermes, Brazil. The company's mission is to promote sports as a means of education.",Fitness Coaching
"SLN College of Arts and Commerce is an educational institution located in Fort, Chamarajpet, Bangalore, Karnataka, India. Established in 1966 by the SLN Charities at the request of Sri Janapakari Doddanna Shetty, the college has been providing education to the poor and needy for over 100 years. It is the oldest college in the area and has gained a reputation for its arts and commerce programs. The college is supported by grants from the Government of Karnataka and admits students from all communities. It offers courses in various fields and has a well-equipped infrastructure, including a boys' hostel for students with food and shelter. The institution is committed to providing affordable education and empowering humanity through education.",Educational Institution
"Cosens Maths is a company that specializes in creating resources and teaching materials for mathematics education. Their products cover a range of topics from GCSE to A-level further maths, and they also offer teaching resources for KS3 mathematics, GCCE mathematics (A-levels), and A level further mathematics.",Publishing Services
"Grupo Santander Innova is a Peruvian company that specializes in providing training and education to public servants and workers in the private sector. They offer courses in public management, with a focus on efficient and correct performance to avoid errors in procedures and daily activities that may result in administrative sanctions or criminal charges. Their training programs are designed according to the requirements of each organization based on a diagnosis, with the objective of achieving better performance of public servants through the closing of gaps or development of skills and knowledge. They provide virtual and face-to-face courses, 1-year access to the virtual classroom, teaching materials, manuals, and videos of the course, as well as certificates in physical and virtual formats. Grupo Santander Innova has gained trust in the field of education and has contributed significantly to personal and professional development with the goal of training experts for a better state.",Training Services
"The University of Warsaw (UKW) is a university located in Bydgoszcz, Poland, and is the largest university in the region. The university offers a range of academic programs, including the Katedra Funkcji Rzeczywistych i Algebry, which focuses on the theory of real-world functions and the applications of algebrics in various fields of science. The faculty members specialize in mathematical applications in engineering, cryptography, automation, electronics, and other fields. The University of Wojska Bydgeszcz is also involved in international cooperation projects.",Higher Education Institution
"Shabnam Bellydance Life is a company based in the San Francisco Bay Area that focuses on the art of bellydancing. Belldance is an ancient art form that originated in India and has been practiced for centuries. Shabndance has become a significant part of the modern dance world, and the company aims to preserve and promote this ancient tradition.",Training Services
"ICC Perú - Instituto de Capacitación Continua is a Peruvian company that offers continuing education courses in the fields of electrical engineering and law and public administration. Their courses cover topics such as billing analysis, electric tariff evaluation, and cost and budgeting for electrical projects and services. The courses are taught by experienced teachers and are constantly updated. Upon completion of the courses, students receive a certificate from ICC. The company's mission is to provide quality education and training to individuals seeking to improve their skills in these areas.",Training Services
"The College of Society is a part of King Saud University, established in 1422 A.H. under the supervision of His Highness of Council Decision No. 73 dated 5 March 1980 H (6 January January DST), with the aim of achieving global leadership and excellence in building a knowledge society through the adoption of leading academic and administrative practices that are consistent with distinguished local and international standards and norms. The College has various academic departments, including the Department of Management Sciences, Applied Medical Sciences, Arts and Education Section, Natural Sciences Department, and Computer Science Department. It also has various units, such as the Business Unit, Training and Recruitment Support Unit, Development and Quality Unit, Student Activities Unit, Alumni Unit, Skills Development Unit, Management Communications Unit, Research Unit, and Faculty and Staff Unit. The Computer Science Programme has obtained full software accreditation, and the Management Science Programme is accredited.",Training Services
"Fg College is an educational institution located in Nowshera, Khyber Pakhtunkhwa, Pakistan. It operates as a college and provides various educational services.",Training Services
"Siena College Information System is a company that provides information and resources for students and faculty at Siena University. Their services include a campus directory, contact information for campus employees, access to the current schedule of classes, a course catalog, and links to alumni-related sites.",Information Services
"Island Driving School is a driving school located in La Porte, Texas, United States. The school specializes in providing driving education and training.",Training Services
"The National Portal is an online platform based in Bangladesh that offers a wide range of products and services to its users. It provides access to various categories such as health, education, entertainment, lifestyle, and sports, among others. Users can search for products by category, type, and location, and can also make purchases through the platform. The National Portal aims to provide a convenient and efficient way for users to find what they are looking for.",Financial Services
Terrain at Castle Oaks is a company that operates a swim club and pool complex called Terrain Swim Club & Ravenwood Pools.,Swimming Pool Maintenance Services
"Anita Borkowska-Moskalik is a lawyer and court executive officer based in Krakow, Poland. She works for the Krakow Regional Court, providing legal services and oversight within the court system.",Legal Services
"Google Analytics is a company that provides access to millions of geospatial data, including latitude, longitude, and altitude data, as well as information on countries, regions, cities, and places of interest. They offer a variety of tools and services, such as Google Analytics Country ID, Google Analytics Geo ID Lookup, and Google Analytics Map Data Map data. Users can explore the geospacial ID hierarchy with interactive maps and interactive maps, and get the most up-to-date Google Analytics Geography codes. Additionally, the company provides information on Google Analytics country ID 2862, which is the country code for Venezuela.",Data Analysis Services
"Monroe County Fairgrounds is a venue located in Bloomington, Indiana that hosts a variety of events including the annual Monroe County Fair, 4-H Demolition Derby, Balloon Fest, Horse Show, Cattle Show, Rabbit Show, Auditorium Rentals, Building Rentals and Weddings. The fair has a long history dating back over one hundred fifty years, with the first annual fair held in 1855. The venue has undergone several changes over the years, including being moved and held at different locations before settling at the current Duke Energy site. The building was renovated in 2013 with a new interior and exterior, including an additional flooring by local artist Adam Long. The Fairgrounds also offers RV and boat storage, a vendor market, and hosts non-fair events.",Event Planning Services
"The company specializes in providing police entry jobs for police officers, deputy sheriffs, and state police officers in the United States. They offer a range of services including police entry exams, oral boards, polygraph questions, and study guides. The company has over 50 years of experience in law enforcement and over 30 years of expertise in writing tests and assessments for law enforcement agencies. They hand-pick positions that are reviewed and hand-picked, ensuring that only worthwhile agencies are represented. The positions are full-time, non-seasonal, and well-paying. The website offers a free police entry exam and a free resume writing book with sample resumes and cover letters.",Training Services
Southern Sons MC is a motorcycle club based in Florida. The company's mission is to foster a sense of brotherhood among its members.,Community Engagement Services
"Juneau County Online is a website dedicated to promoting the arts, crafts, and home-based businesses of Juneau County, Wisconsin. The site aims to showcase the treasures of the county, including the artists, crafters, and other creative minds from Mauston, New Lisbon, Elroy, Necedah, Lyndon Station, Camp Douglas, Wonewoc, and Union Center. The website also supports the local community by providing a platform for the creative minds of the area to showcase their work and for the community to buy from local businesses. Additionally, the site features a September Artist Showcase where local artists showcase their art every 2nd Saturday of the month.",Community Engagement Services
"Mule Creek State Prison is a state-operated detention facility located in Ione, California that houses a diverse population of inmates. It is managed by the California Department of Corrections and Rehabilitation (Cdcr) and is known for its various security levels, providing a range of housing options for inmates based on their security classification. The facility is committed to maintaining public safety by ensuring that offenders serve their sentences in a secure and controlled environment. The CDCR maintains the California corrections inmate database, which enables individuals to conduct a prisoner search, access inmate records, and obtain information about the state prison system.",Public Safety Services
"The Agriculture Production and Farmers Welfare Department is a government department in Jammu & Kashmir, India. It is responsible for managing and developing the agricultural sector in the state. The department offers various services and schemes, including the Rashtriya Krishi Vikas Yojana (Rkvy), National Mission for Sustainable Agriculture (Nmsa), Agriculture Technology Management Agency (Atma), National Food Security Mission (Nfsm), and Pradhan Mantri Fasal Bima Yojna. The website serves as an information resource for the department and provides details on its activities, including agriculture statistics, property statements, and budget information. The director general's office is located in Kathmandu.",Compliance Services
"The Ministry of Foreign Affairs of Cambodia (Ministry of Foreign Trade and Investment) is the government agency responsible for promoting and facilitating cooperation between Cambodia and other countries. It is headed by the Royal Government of Cambodia and assisted by the Ministry of Tourism. The Ministry engages in diplomatic relations with other countries and international organizations, and is involved in the development of Cambodia's economy. It has issued statements on various issues, including condemning ethnic violence in Cambodia and expressing condolences on the passing of Patriarch Muay Thai. The ministry also engages in cultural and tourism activities, such as visiting museums and visiting archaeological sites.",Public Relations Services
"The Bahamas is a government entity that is responsible for the administration of the country's laws, including laws related to Statutes, Ordinances, Regulations, Acts, and Statutes. It is also responsible for legal amendments and the justice system, as well as the promulgation of primary legislation. The government publishes a statute book and bills and regulations, which are available in alphabetical order by year and category. Any legislation that is not in force or amending the principal legislation can be found under Acts or Subsidiary Legislation by year or if it is amending legislation, under the principal Legislation appearing in alphabetically ordered.",Legal Services
"The Direction du Cadastre, de la Conservation Foncière et de l'Enregistrement (Dccfe) is a French government agency responsible for overseeing the registration, conservation, and management of land titles. The agency provides services related to land registration, including the creation and registration of land and title titles, as well as the creation of land titres fonciers. The DCCFE also manages the process of post-immatriculation operations and the transfer of property rights. The organization has a mission and vision focused on land conservation and provides statistics on land-related matters and titles.",Land Registration Services
"Steven Frasher for Redlands City Council District 4 is a political campaign for a candidate running for the position of Councilman in Redlands, California. The candidate, Steven Frasher, is a former community journalist and editor with experience in senior public service roles for mayors, police chiefs, and school superintendents. He is currently the vice-chair of the Redlands Planning Commission and has served on other city committees dealing with economic development, business resiliency, and budget priorities. Frasher prioritizes steady and serious-minded stewardship of public services and assets during the current health and budget emergency. He believes that collaboration with community members and city staff is necessary to align ideas with policy and create solutions.",Community Engagement Services
"The Indonesian government's official website, KULON Progo, is the official website of the Indonesian government. It provides information on the history, government policies, legal products, data, and services of the government. The website also offers information on various departments, including the Ministry of Health, Ministry of Tourism, and Ministry of Finance, among others. Additionally, it provides information about the Indonesian Police Service, which is responsible for providing public safety and security services to the Indonesian people.",Governmental Organization
"AbroadVote is a chat bot designed to assist foreign citizens living abroad in voting under the Uniformed and Overseas Citizens Absentee Voting Act (Uocava). It provides information and assistance to those who are eligible to vote, including those who live in a foreign country, are active duty members of the Uniforms Services, Merchant Marines, or commissioned corps of the Public Health Service and the National Oceanic and Atmospheric Administration, or one of their eligible family members. AbroadVote aims to simplify the process of voting for foreign citizens, which can be confusing and confusing at times.",Legal Services
"Free Willie Nash is a company that is sponsored by Bruce Boyer, a candidate for Ventura County sheriff. The company is focused on advocating for the release of Willie Nash, a man who was imprisoned for 12 years for having a cellphone in jail. The idea for the company was born out of frustration with the excessive punishment given to Nash by a Mississippi court. The founder of Free Willie Nash believes that the current justice system is criminal and should be changed.",Legal Services
"The Mayo Mill Dam Feasibility Study is a community-based study being conducted in Dover-Foxcroft, Maine, in partnership with the Atlantic Salmon Federation, The Nature Conservancy in Maine, and Inter-Fluve, Inc. The study aims to determine a viable solution for the removal of the Mayo Mill dam from the Piscataquis River and the improvement of the riverfront as part of downtown revitalization. Funding for the report is provided by NOAA Fisheries through the Infrastructure and Investment Jobs Act, and there is no cost to the Town. The project is being carried out by a steering committee, which includes Alsina Brenenstuhl as Project Coordinator, Maranda Nemeth as Project Manager, Eileen Bader Hall as Project Administrator, and Mike Burke as a Professional Engineer. The steering committee has recommended the removal and improvement of Mayo Mill as part and amendment to the Mayo Dam Resolution to present a referendum question.",Consulting Services
"Baby Bear Farm is an organic farm located near the Blue Ridge Mountains of Virginia that specializes in growing lavender and peppermint. The farm was founded with the aim of making a positive impact on people's lives and well-being. They offer a variety of lavender products, including essential oils, lavender soap, and lavender sachets, made with all organic ingredients. Baby Bear Farm also provides helpful information and inspiration through their blog, including updates on farm happenings and the benefits of essential oils. Their goal is to be a place of serenity and healing for their customers.",Soap Production Services
"Biminiclip by TerriCraft Creations is a company that produces a product called Biminiclips, which are clips that can be attached to bimini tops by tying towels, wet shirts, or any other fabric. These clips are strong and durable, making them suitable for use in windy conditions or while underway up to 50 mph. They can be used to hang tarps or sheets on the legs to create shade on any side, clip on boat covers, and clip on the backs of many lawn chairs. Square Bimiclips are available in 6 colors and 2 sizes, while Classic Bimeticlips come in 2 sizes 7/8"" and 1"" for round tubing and are molded ABS for UV resistance. Square fit square tubing is made of polycarbonate and is available in 1"" or 1 1/4"", 5 per pack.",Accessory Manufacturing
"The company is an online exhibition platform that specializes in online exhibitions, with a focus on the online exhibition industry. They have developed a new model for internet exhibitions, including online exhibitions and online exhibitions. They offer a variety of products, including the Prolac HCP sanitary/hygienic pump, sanitary pipe 3A and 3A, liquid filling machines, and the 3M Digital Heating Block Dhb120, 120V, 1 ea. The company is a global product exhibition that aims to connect the world of sanitary industry with its customers. They provide a platform for exhibitors to showcase their products, collaborate with other exhibitors, and build projects.",E-Commerce Services
"Volitation Technology Co., Ltd is a professional mold enterprise that specializes in the design and manufacture of injection molds, stamping dies, and die casting molds. They offer a range of plastic molding and products, including standard product molds and prototype molds for consumer electronics, home appliances, automotive, and children's products. The company has a mold capacity of 60 molds per month, which can produce up to 30 tons of products. They also offer mold design and product design services. Volitation Technology is an international OEM and ODM company with a focus on plastic middle-size mold manufacturing.",Plastic Manufacturing
"Hibberds Agricultural Installations is a company that specializes in the supply and installation of forage, grain, and slurry storage systems. They are agents for ""Permastore®"" and supply new and used slurry tanks, as well as new and second-hand sealed storage units. They offer a range of products including Harvestore®, Howard Harvestore, Boythorpe, Simplex, Forage, Grain (Wheat, Barley, Maize, etc.), and Slurry Silos. The company also provides services such as taking down, cleaning, re-building, repointing, and re-sealing existing structures, and has its own set of fully insured Silo Construction Jacks.",Agricultural Machinery Installation
"Go D' JUICE is a juice shop located in Stabat, North Sumatra, Indonesia. The establishment offers both takeout and dine-in services and operates on a cash-only basis.",Food and Beverage Services
"Rica-Zerspanungstechnik is a company that specializes in CNC turning and milling, offering services ranging from large series to single parts. They provide CNC turned parts made from various machinable materials with diameters up to 150 mm and lengths of up to 250 mm. Additionally, they offer CNC milling machines for turning parts from almost all machinables. The company prides itself on its competence and passion for CNC technology and is a reliable service provider in the field.",Precision Turned Product Manufacturing
"Casting Solutions, LLC is a gray and ductile iron foundry located in Zanesville, Ohio, USA. With over 80 years of foundry experience, the company specializes in producing castings for residential and commercial boilers, heat distribution radiators, automotive applications, water infrastructure projects, and the stadium seating industry. Castings are made in both gray and galvanized iron, ranging in weights from 10 to 500 pounds each. The company is committed to producing quality castings that meet customer needs and strives to be the lowest cost gray and cast iron foundries in the world.",Foundry Services
"UK Chemical Inc. is a manufacturer of specialty chemical products and a major supplier in the bulk chemical industry. They provide high-quality chemical products that comply with international standards and regulations on safety and quality control. The company offers bulk chemicals, nano inkjet ink, and commercial bulk chemicals.",Chemical Manufacturing
"Angeei is a company founded in 2011 that specializes in the innovation and manufacturing of connected products, research and development of communication products, and engineering services. They aim to become a high-quality service provider for overall solutions in communication, automobile, Internet of Things, and other fields. With over 20 years of experience in industry R&D and manufacturing, Angeei offers engineering services, testing services, production services, and quality services. Their services include antenna and cable assembly product solutions.",Accessory Manufacturing
"Slateplate is a company that specializes in creating high-quality, durable, and easy-to-care-for slate products, including cheese boards and plates. They use North American slate, which they believe is the most consistent, uniform, dark black slate on the planet, and have spent two years perfecting their hand-working process to produce the most beautiful and durable slate products. Their slate is made by crushing and melting softer rocks together, creating super-strong slate with natural bands called foliation. Slateplate's slate is dishwasher safe, USA made, has hand-smoothed edges, removes all sharp edges and flakes, and is durable enough to withstand dishwashers. They offer custom text engraving and slate purchase options, and their products are perfect for personal, business, and gift occasions. Slate Plate is known for their excellent customer service and timely delivery.",Accessory Manufacturing
"Acabados Perfectos is a company that specializes in customizing and transforming vans into campervans. They offer a variety of vehicles to suit different needs, including small, medium, and large vans for couples, families, and other groups. The company was founded by individuals who started building their own van, the Liberty, and discovered a new way of traveling and fulfilling their dreams. AcabadosPerfectos aims to make each van or vehicle unique and personalized to the customer's preferences and needs. They also provide furniture and accessories for camper vans.",Campervan Customization Services
"Wuhan Kangde Road Chemical Co., Ltd is a Chinese company that specializes in the production and sale of various products, including vegetable oil, metal building materials, footwear, electric toys, incense, children's clothing, fragrances, lubricants, oil tank repair, camping equipment, and electrical equipment. The company has been in operation for many years and is known for its human-oriented and sincere spirit, providing a force for the growth of small and medium-sized enterprises. It has advanced modern production equipment and is committed to providing high-quality products to its customers.",Chemical Manufacturing
Alberto Bevacqua is a photography company that specializes in portfolio and photography services. The company's main focus is on steel photography.,Photo Work
"The Xinxing Silk Net Factory is a Chinese company that specializes in the professional production of stainless steel strip seam sieve mesh, wheat grinding machine, wedge filter cylinder, manganese steel anti-clogging vibration screen net, and other related products. The company has been in operation for over 30 years and is located in Baoding City, known as the ""silk country"" of China. The factory occupies an area of 28 thousand square meters and has over 50 employees, including engineering technical personnel and senior engineers with over 20 years of experience in wire network R&D manufacturing.",Non-Structural Steel Fabrication
"SANIA Cie is a joint venture between Wilmar International Limited and SIFCA Holding. The company is a prominent producer of refined palm oil products, including olein, stearin, palm fatty acid distillate, and margarine. They are known for having the largest palm oil refining plant in Africa, with a capacity of 1500Mtd.",Oil and Fat Manufacturing
"Rovani Agro Metmetal is a company that specializes in the production of the Rodocar microtrator, a machine designed for cleaning gutters, stables, and livestock treatment rooms. The microtrador features a 1.5-meter-long, 1.75-meter long, high-strength, flat-crane with manual mechanisms and a 7HP engine that can be powered by gasoline or diesel, with either manual or electric starting. The structure is made of carbon steel with surface treatment and epoxy paint, and has three wheels, two of which are traction two-wheel drive with a differential, ensuring greater maneuverability, and two types of tires, including 15"" tires of the typical traction type and a 14"" radial rear wheel with a 15"" tire.",Farm Machinery and Equipment Manufacturing
